T24,Land,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Land area (thousand hectares),"13,020,101",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2005,Arable land (thousand hectares),"1,365,372",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2005,Permanent crops (thousand hectares),"144,872",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2005,Forest cover (thousand hectares),"4,132,183",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2005,Arable land (% of total land area),10.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2005,Forest cover (% of total land area),31.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.12,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2023."
1,"Total, all countries or areas",2010,Land area (thousand hectares),"13,018,354",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2010,Arable land (thousand hectares),"1,363,504",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2010,Permanent crops (thousand hectares),"157,815",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2010,Forest cover (thousand hectares),"4,106,317",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2010,Arable land (% of total land area),10.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2010,Forest cover (% of total land area),31.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.11,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2023."
1,"Total, all countries or areas",2020,Land area (thousand hectares),"13,031,197",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2020,Arable land (thousand hectares),"1,387,173",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2020,Permanent crops (thousand hectares),"174,493",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2020,Forest cover (thousand hectares),"4,058,931",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
1,"Total, all countries or areas",2020,Arable land (% of total land area),10.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed December 2022."
