Log GDP per capita,Healthy life expectancy at birth,Freedom to make life choices,Social support
9.577,66.45,0.6,0.757
9.616,66.6,0.609,0.771
9.638,66.75,0.57,0.8
8.982,60.94,0.386,0.744
8.979,60.92,0.431,0.862
9.009,60.9,0.419,0.854
9.047,60.88,0.347,0.751
9.133,60.86,0.315,0.73
9.159,60.84,0.952,0.728
9.126,60.82,0.646,0.725
9.145,60.8,0.599,0.684
9.25,61.275,0.666,0.719
9.208,61.75,0.628,0.695
9.21,62.225,0.598,0.764
9.096,63.175,0.7,0.708
9.101,63.65,0.594,0.73
10.982,69.62,0.943,0.967
10.939,69.86,0.894,0.983
10.876,69.98,0.835,0.959
10.887,70.1,0.856,0.973
10.891,70.22,0.952,0.977
10.887,70.34,0.902,0.962
10.893,70.46,0.884,0.955
10.969,70.58,0.922,0.968
11.177,70.7,0.892,0.953
11.186,70.8,0.875,0.958
11.261,70.9,0.905,0.943
11.331,71.0,0.861,0.938
11.37,71.1,0.892,0.944
11.42,71.2,0.882,0.96
11.538,71.3,0.846,0.85
11.625,71.4,0.895,0.906
10.359,71.08,0.817,0.927
10.4,71.16,0.683,0.868
10.414,71.24,0.663,0.859
10.399,71.32,0.593,0.937
10.436,71.4,0.561,0.882
10.472,71.48,0.722,0.893
10.479,71.56,0.681,0.903
10.503,71.64,0.739,0.909
10.523,71.72,0.707,0.889
10.527,71.8,0.753,0.864
10.552,71.95,0.772,0.89
10.574,72.1,0.768,0.916
10.595,72.25,0.725,0.91
10.617,72.4,0.834,0.946
10.58,72.55,0.831,0.959
10.647,72.7,0.82,0.917
10.692,72.85,0.775,0.954
10.722,70.8,0.684,0.912
10.706,70.9,0.543,0.88
10.647,71.0,0.701,0.88
10.661,71.1,0.738,0.872
10.666,71.2,0.568,0.913
10.633,71.3,0.57,0.869
10.603,71.4,0.499,0.916
10.594,71.5,0.624,0.898
10.603,71.6,0.575,0.909
10.617,71.675,0.624,0.927
10.635,71.75,0.633,0.92
10.647,71.825,0.65,0.913
10.663,71.9,0.709,0.838
10.573,71.975,0.718,0.89
10.644,72.05,0.703,0.886
10.685,72.125,0.711,0.869
8.164,48.9,0.76,0.667
8.267,51.3,0.739,0.709
8.334,51.9,0.781,0.711
8.377,52.5,0.8,0.704
8.421,53.075,0.769,0.617
8.466,53.65,0.732,0.661
8.507,54.225,0.713,0.621
8.542,54.8,0.736,0.679
8.537,55.375,0.77,0.613
8.58,55.95,0.717,0.554
8.612,56.525,0.713,0.536
9.249,66.6,0.738,0.909
9.193,66.6,0.796,0.855
9.182,66.6,0.793,0.865
9.185,66.6,0.809,0.874
9.209,66.6,0.861,0.913
9.234,66.6,0.891,0.878
9.127,66.6,0.865,0.87
9.169,66.6,0.731,0.857
9.198,66.6,0.874,0.868
10.578,72.64,0.796,0.938
10.566,72.76,0.772,0.887
10.507,72.88,0.73,0.888
10.547,73.0,0.772,0.902
10.549,73.12,0.814,0.917
10.565,73.24,0.753,0.905
10.586,73.36,0.821,0.924
10.59,73.48,0.838,0.9
10.607,73.6,0.832,0.923
10.615,73.725,0.836,0.9
10.632,73.85,0.849,0.882
10.639,73.975,0.773,0.886
10.638,74.1,0.806,0.878
10.595,74.225,0.806,0.887
10.616,74.35,0.801,0.896
10.636,74.475,0.789,0.899
9.308,66.16,0.646,0.841
9.354,66.34,0.731,0.766
9.381,66.52,0.771,0.899
9.382,66.7,0.788,0.918
9.383,66.88,0.76,0.878
9.393,67.06,0.693,0.829
9.354,67.24,0.692,0.84
9.269,67.42,0.729,0.816
9.202,67.6,0.767,0.83
9.173,67.6,0.771,0.82
9.173,67.6,0.766,0.815
9.168,67.6,0.762,0.8
9.164,67.6,0.726,0.793
9.127,67.6,0.779,0.709
9.129,67.6,0.773,0.703
9.134,67.6,0.759,0.774
9.804,58.0,0.731,0.872
9.878,58.6,0.806,0.861
9.892,59.2,0.727,0.839
9.884,59.8,0.856,0.893
9.94,60.4,0.785,0.904
9.997,61.0,0.878,0.905
10.03,61.6,0.84,0.892
10.074,62.2,0.782,0.889
10.101,62.8,0.799,0.795
10.098,63.4,0.74,0.931
10.095,63.8,0.783,0.928
10.121,64.2,0.745,0.914
10.148,64.6,0.84,0.937
10.179,65.0,0.852,0.951
10.141,65.4,0.872,0.966
10.17,65.8,0.807,0.906
10.187,66.2,0.883,0.923
8.164,51.42,0.616,0.909
8.201,51.94,0.75,0.841
8.173,52.46,0.62,0.827
8.176,52.98,0.584,0.789
8.226,53.5,0.635,0.805
8.249,54.02,0.709,0.846
8.269,54.54,0.628,0.831
8.282,55.06,0.708,0.825
8.308,55.58,0.819,0.765
8.334,56.1,0.793,0.777
8.353,56.5,0.749,0.706
8.369,56.9,0.853,0.715
8.404,57.3,0.821,0.707
8.434,57.7,0.818,0.676
8.411,58.1,0.702,0.674
8.465,58.5,0.678,0.702
8.499,58.9,0.706,0.691
9.416,67.1775,0.381,0.848
8.858,68.4,0.769,0.884
8.899,69.0,0.506,0.83
8.94,69.2,0.451,0.708
8.992,69.4,0.589,0.759
9.0,69.6,0.636,0.757
9.046,69.8,0.568,0.721
9.082,70.0,0.441,0.706
9.153,70.2,0.561,0.805
9.213,70.175,0.827,0.824
9.253,70.15,0.858,0.792
9.283,70.1,0.89,0.822
9.334,59.92,0.841,0.843
9.279,60.34,0.88,0.792
9.383,60.76,0.84,0.849
9.416,61.18,0.865,0.888
11.233,68.4,0.769,0.919
11.074,69.0,0.819,0.926
10.998,69.2,0.703,0.893
11.024,69.4,0.769,0.882
11.012,69.6,0.934,0.889
10.952,69.8,0.751,0.862
10.926,70.0,0.814,0.914
10.893,70.2,0.822,0.823
10.887,70.175,0.841,0.845
10.82,70.15,0.884,0.853
10.765,70.1,0.867,0.842
8.185,59.92,0.678,0.844
8.258,60.34,0.684,0.833
8.329,60.76,0.719,0.792
8.345,61.18,0.699,0.855
8.329,61.6,0.72,0.885
8.374,62.02,0.748,0.891
8.357,62.44,0.703,0.856
8.441,62.86,0.755,0.851
8.46,63.28,0.736,0.898
8.477,63.7,0.813,0.857
8.5,64.225,0.814,0.914
8.526,64.75,0.859,0.883
8.543,65.275,0.945,0.898
8.568,65.8,0.92,0.877
8.461,66.325,0.935,0.902
8.479,66.85,0.918,0.904
8.517,67.375,0.948,0.927
8.234,55.88,0.925,0.807
8.291,56.26,0.867,0.79
8.351,56.64,0.886,0.807
8.538,57.78,0.882,0.691
8.601,58.16,0.685,0.693
8.883,59.9,0.891,0.707
8.929,60.2,0.907,0.705
8.967,60.5,0.906,0.729
8.957,60.8,0.915,0.66
8.968,61.1,0.927,0.65
10.042,63.1,0.641,0.884
10.145,63.4,0.7,0.836
10.123,63.7,0.63,0.855
9.985,64.0,0.437,0.807
10.004,64.6,0.564,0.836
10.085,64.9,0.564,0.851
10.115,65.2,0.631,0.834
10.143,65.5,0.671,0.881
10.19,65.8,0.656,0.879
10.222,65.9,0.685,0.917
10.264,66.0,0.7,0.895
10.311,66.1,0.608,0.913
10.343,66.2,0.698,0.936
10.328,66.3,0.82,0.928
10.376,66.4,0.815,0.954
10.407,66.5,0.817,0.928
9.572,65.16,0.67,0.853
9.712,65.28,0.524,0.717
9.797,65.34,0.665,0.736
9.865,65.4,0.678,0.721
9.864,65.46,0.657,0.733
9.863,65.52,0.621,0.713
9.808,65.58,0.655,0.708
9.733,65.64,0.657,0.759
9.718,65.7,0.597,0.742
9.755,65.775,0.657,0.828
9.787,65.85,0.605,0.777
9.797,65.925,0.607,0.829
9.751,66.0,0.447,0.866
9.531,66.075,0.552,0.547
9.471,66.15,0.423,0.507
9.428,66.225,0.45,0.535
7.785,41.52,0.618,0.824
7.897,42.25,0.729,0.798
7.852,42.9,0.757,0.769
7.837,44.2,0.716,0.79
7.179,51.86,0.79,0.594
7.207,51.94,0.724,0.619
7.257,52.1,0.819,0.827
7.386,52.42,0.59,0.708
7.366,52.5,0.671,0.638
7.33,53.1,0.763,0.643
7.335,53.7,0.733,0.685
7.328,54.3,0.766,0.727
7.283,54.9,0.706,0.712
7.277,56.7,0.732,0.597
10.38,65.14,0.712,0.855
9.858,64.3,0.775,0.868
9.828,64.525,0.822,0.876
10.095,64.75,0.779,0.823
10.156,64.975,0.781,0.824
10.023,65.2,0.762,0.827
10.042,63.5,0.567,0.93
10.16,63.7,0.59,0.941
10.196,63.9,0.621,0.914
10.046,64.1,0.496,0.933
10.083,64.3,0.519,0.882
10.165,64.5,0.566,0.911
10.216,64.7,0.503,0.919
10.261,64.9,0.556,0.913
10.304,65.1,0.508,0.908
10.334,65.3,0.641,0.929
10.371,65.65,0.614,0.938
10.427,66.0,0.749,0.926
10.476,66.35,0.699,0.929
10.524,66.7,0.78,0.918
10.523,67.05,0.824,0.953
10.579,67.4,0.707,0.928
10.602,67.75,0.71,0.937
11.628,70.3,0.939,0.939
11.647,70.5,0.908,0.952
11.635,70.7,0.962,0.934
11.627,70.9,0.917,0.914
11.636,71.1,0.79,0.917
11.638,71.3,0.938,0.875
11.637,71.5,0.932,0.934
11.664,71.525,0.882,0.941
11.653,71.55,0.903,0.905
11.645,71.575,0.884,0.902
11.649,71.6,0.93,0.912
11.66,71.675,0.915,0.878
7.351,54.14,0.637,0.711
7.413,54.62,0.332,0.776
7.309,55.34,0.546,0.818
7.311,55.58,0.487,0.673
7.307,55.82,0.48,0.673
7.314,56.06,0.529,0.655
7.319,56.3,0.545,0.647
7.332,56.55,0.57,0.746
7.345,56.8,0.57,0.626
7.351,57.05,0.551,0.666
7.369,57.3,0.55,0.701
7.29,58.05,0.523,0.642
7.017,45.36,0.767,0.554
7.08,46.42,0.91,0.6
7.176,48.54,0.879,0.718
7.232,50.66,0.733,0.613
7.223,51.72,0.637,0.604
7.245,52.78,0.752,0.563
7.273,53.84,0.786,0.512
7.273,54.9,0.801,0.494
7.27,55.45,0.81,0.524
7.283,56.0,0.848,0.555
7.299,56.55,0.799,0.528
7.325,57.1,0.765,0.549
7.307,58.2,0.757,0.558
7.296,58.75,0.744,0.503
9.827,65.08,0.837,0.866
9.867,65.16,0.844,0.871
9.893,65.24,0.78,0.803
9.858,65.32,0.874,0.792
9.912,65.4,0.769,0.839
9.948,65.48,0.84,0.77
9.985,65.56,0.848,0.841
10.015,65.64,0.791,0.831
10.057,65.72,0.808,0.863
10.092,65.8,0.675,0.818
10.197,65.725,0.875,0.789
10.228,65.7,0.916,0.842
10.159,65.675,0.878,0.797
10.179,65.65,0.878,0.794
9.893,69.775,0.855,0.913
7.561,49.94,0.555,0.761
7.576,50.62,0.495,0.747
7.591,50.96,0.634,0.733
7.61,51.3,0.749,0.751
7.609,51.64,0.823,0.796
7.572,51.98,0.704,0.823
7.565,52.32,0.665,0.82
7.602,52.66,0.652,0.843
7.631,53.0,0.634,0.83
7.655,53.4,0.696,0.836
7.675,53.8,0.753,0.741
7.69,54.2,0.737,0.692
7.705,54.6,0.67,0.755
7.661,55.0,0.645,0.568
7.659,55.4,0.673,0.573
7.645,55.8,0.818,0.642
10.353,70.22,0.803,0.916
10.402,70.4,0.802,0.908
10.402,70.58,0.882,0.923
10.434,70.76,0.861,0.922
10.473,70.94,0.909,0.942
10.526,71.12,0.904,0.941
10.594,71.3,0.912,0.919
10.605,71.35,0.916,0.93
10.681,71.4,0.924,0.937
10.706,71.45,0.927,0.932
10.724,71.5,0.924,0.922
10.615,71.55,0.931,0.938
10.707,71.6,0.889,0.897
9.896,71.65,0.838,0.932
8.528,56.5,0.573,0.682
8.5,56.8,0.593,0.67
8.474,57.1,0.735,0.819
8.471,57.4,0.669,0.857
8.482,57.7,0.567,0.75
8.494,58.0,0.487,0.763
8.506,58.3,0.603,0.741
8.521,58.6,0.468,0.853
8.547,58.9,0.447,0.875
8.533,59.125,0.467,0.785
8.568,59.35,0.527,0.779
8.588,59.575,0.467,0.802
8.614,59.8,0.628,0.798
8.591,60.475,0.624,0.648
9.797,63.52,0.848,0.8
9.896,63.88,0.824,0.785
9.968,63.975,0.819,0.836
10.006,63.95,0.912,0.91
10.044,63.925,0.867,0.909
10.072,63.9,0.893,0.913
9.915,63.875,0.843,0.893
9.951,63.85,0.802,0.887
10.007,63.825,0.798,0.887
9.831,64.68,0.67,0.879
9.83,64.82,0.677,0.876
9.764,64.96,0.682,0.868
9.8,65.1,0.778,0.876
9.822,65.24,0.831,0.824
9.844,65.38,0.788,0.767
9.844,65.52,0.739,0.759
9.86,65.66,0.779,0.782
9.88,65.8,0.719,0.761
9.895,65.8,0.752,0.893
9.905,65.8,0.861,0.8
9.917,65.8,0.816,0.858
9.907,65.8,0.903,0.852
9.816,65.8,0.873,0.779
9.857,65.8,0.837,0.779
9.876,65.8,0.861,0.858
8.936,59.48,0.554,0.812
8.967,59.86,0.696,0.804
9.044,60.24,0.641,0.872
8.984,60.62,0.551,0.856
9.053,61.0,0.598,0.847
9.111,61.38,0.628,0.869
9.105,61.76,0.602,0.826
9.192,62.14,0.658,0.803
9.241,62.52,0.623,0.805
9.245,62.9,0.595,0.84
9.3,63.3,0.557,0.837
9.363,63.7,0.553,0.831
9.423,64.1,0.824,0.892
9.475,64.5,0.784,0.809
9.409,64.9,0.859,0.874
9.547,65.3,0.833,0.88
9.54,65.7,0.829,0.817
8.827,56.54,0.781,0.881
8.902,56.96,0.484,0.92
8.925,57.8,0.631,0.904
9.069,58.22,0.7,0.948
9.168,58.64,0.688,0.919
9.26,59.06,0.748,0.935
9.315,59.48,0.752,0.943
9.318,59.9,0.686,0.906
9.311,60.0,0.76,0.947
9.344,60.1,0.675,0.924
9.397,60.2,0.696,0.942
9.43,60.3,0.711,0.946
9.365,60.4,0.718,0.918
9.365,60.5,0.667,0.927
9.388,60.6,0.717,0.951
9.696,65.96,0.512,0.832
9.702,66.12,0.556,0.816
9.727,66.2,0.552,0.805
9.758,66.28,0.546,0.818
9.729,66.36,0.462,0.704
9.763,66.44,0.502,0.736
9.78,66.52,0.503,0.863
9.813,66.6,0.583,0.74
9.842,66.7,0.569,0.866
9.888,66.8,0.626,0.881
9.937,66.9,0.626,0.856
9.978,67.0,0.694,0.832
9.813,67.1,0.802,0.887
8.673,62.5,0.663,0.678
8.71,62.66,0.579,0.833
8.726,62.82,0.757,0.676
8.757,62.98,0.572,0.597
8.947,63.3,0.713,0.606
8.94,63.4,0.817,0.655
8.977,63.5,0.814,0.641
8.996,63.6,0.773,0.554
9.014,63.7,0.757,0.535
8.929,63.8,0.819,0.553
8.994,63.9,0.762,0.505
8.996,64.0,0.795,0.564
6.792,44.82,0.684,0.879
6.84,45.24,0.643,0.748
6.885,45.66,0.514,0.756
6.996,46.92,0.639,0.818
7.148,48.6,0.813,0.666
7.16,49.5,0.823,0.678
7.165,49.95,0.897,0.738
7.159,50.4,0.87,0.742
7.112,51.3,0.838,0.664
7.12,51.75,0.884,0.711
8.067,58.16,0.691,0.612
8.134,58.64,0.775,0.757
8.205,59.12,0.87,0.774
8.229,59.6,0.808,0.752
8.321,59.925,0.877,0.793
8.369,60.25,0.886,0.795
8.424,60.575,0.906,0.774
8.483,60.9,0.899,0.763
8.507,61.225,0.825,0.796
8.302,61.55,0.631,0.78
9.073,51.88,0.781,0.828
9.264,54.26,0.849,0.763
9.243,55.35,0.81,0.828
9.237,55.725,0.754,0.864
9.211,56.1,0.739,0.845
9.11,56.475,0.666,0.741
9.12,56.85,0.659,0.808
9.132,57.225,0.683,0.808
7.734,59.66,0.689,0.874
7.761,59.72,0.413,0.787
7.814,59.78,0.618,0.818
7.853,59.84,0.616,0.813
7.895,59.9,0.519,0.779
7.924,59.96,0.525,0.741
7.968,60.02,0.638,0.734
8.0,60.08,0.722,0.74
8.056,60.14,0.712,0.786
8.089,60.2,0.763,0.748
8.085,60.475,0.839,0.837
8.159,60.75,0.845,0.816
8.221,61.025,0.77,0.768
8.274,61.3,0.79,0.772
8.233,61.575,0.772,0.787
8.251,61.85,0.818,0.699
8.285,62.125,0.844,0.753
10.876,70.78,0.896,0.944
10.894,70.82,0.883,0.944
10.86,70.9,0.921,0.957
10.87,70.94,0.925,0.938
10.856,70.98,0.877,0.939
10.852,71.02,0.919,0.925
10.863,71.06,0.91,0.909
10.878,71.1,0.904,0.879
10.894,71.175,0.907,0.926
10.917,71.25,0.92,0.937
10.934,71.325,0.92,0.939
10.947,71.4,0.886,0.941
10.902,71.475,0.935,0.944
10.944,71.55,0.856,0.919
10.981,71.625,0.868,0.929
10.541,69.72,0.932,0.946
10.561,69.74,0.878,0.967
10.542,69.76,0.893,0.944
10.534,69.8,0.918,0.976
10.549,69.82,0.935,0.954
10.566,69.84,0.902,0.93
10.585,69.86,0.944,0.958
10.605,69.88,0.932,0.942
10.622,69.9,0.942,0.987
10.636,69.975,0.927,0.937
10.651,70.05,0.942,0.955
10.666,70.125,0.949,0.954
10.672,70.2,0.912,0.939
10.637,70.275,0.918,0.952
10.667,70.35,0.91,0.95
10.682,70.425,0.831,0.956
8.395,64.3,0.745,0.877
8.431,64.4,0.836,0.866
8.45,64.5,0.791,0.857
8.402,64.6,0.746,0.835
8.431,64.7,0.792,0.863
8.477,64.8,0.779,0.8
8.526,64.9,0.85,0.894
8.559,65.0,0.859,0.868
8.591,65.1,0.817,0.839
8.624,65.2,0.809,0.827
8.654,65.275,0.717,0.853
8.685,65.35,0.922,0.838
8.637,65.425,0.797,0.854
8.585,65.5,0.883,0.874
8.553,65.575,0.818,0.856
8.637,65.65,0.905,0.848
8.664,65.725,0.914,0.844
6.872,50.14,0.75,0.677
6.867,50.58,0.584,0.726
6.905,51.02,0.649,0.607
6.887,51.46,0.88,0.771
6.932,51.9,0.817,0.655
6.918,52.34,0.78,0.818
6.98,52.78,0.734,0.7
6.994,53.22,0.825,0.696
7.02,53.66,0.688,0.753
7.025,54.1,0.728,0.713
7.042,54.45,0.702,0.683
7.053,54.8,0.684,0.582
7.084,55.15,0.791,0.612
7.105,55.5,0.831,0.677
7.091,56.55,0.793,0.587
8.314,50.22,0.649,0.735
8.35,50.54,0.635,0.718
8.389,50.86,0.584,0.78
8.439,51.18,0.537,0.722
8.488,51.5,0.565,0.824
8.526,52.14,0.652,0.818
8.564,52.46,0.622,0.663
8.6,53.1,0.68,0.812
8.558,53.425,0.798,0.805
8.541,53.75,0.826,0.733
8.535,54.075,0.79,0.741
8.532,54.4,0.746,0.735
8.49,54.725,0.713,0.739
8.502,55.05,0.726,0.742
9.435,64.66,0.439,0.811
9.481,64.82,0.552,0.734
9.512,64.9,0.513,0.687
9.533,64.98,0.607,0.784
9.527,65.06,0.613,0.798
9.555,65.14,0.641,0.832
9.589,65.22,0.645,0.793
9.625,65.3,0.66,0.766
9.652,65.5,0.706,0.871
9.662,65.7,0.752,0.8
9.69,65.9,0.745,0.849
9.728,66.1,0.725,0.815
9.667,66.3,0.787,0.75
9.709,66.5,0.793,0.809
9.733,66.7,0.723,0.85
11.048,69.4,0.96,0.959
11.06,69.8,0.947,0.936
11.035,70.6,0.947,0.948
11.041,71.0,0.956,0.941
11.051,71.2,0.948,0.947
11.053,71.25,0.954,0.96
11.067,71.3,0.953,0.95
11.072,71.35,0.96,0.966
11.073,71.4,0.954,0.942
11.06,71.45,0.965,0.956
11.092,71.5,0.936,0.948
11.111,71.55,0.939,0.927
10.539,62.34,0.916,0.922
8.314,53.72,0.396,0.479
8.309,53.98,0.335,0.373
8.315,54.24,0.388,0.522
8.308,54.5,0.364,0.571
8.314,54.76,0.376,0.51
8.331,55.02,0.367,0.542
8.359,55.28,0.448,0.607
8.39,55.54,0.543,0.552
8.423,55.8,0.587,0.562
8.465,56.075,0.634,0.627
8.495,56.35,0.713,0.69
8.54,56.625,0.773,0.685
8.548,56.9,0.685,0.617
8.518,57.175,0.767,0.594
8.563,57.45,0.764,0.608
9.771,66.86,0.882,0.951
9.865,67.02,0.64,0.937
9.941,67.18,0.707,0.922
9.935,67.34,0.721,0.905
9.974,67.5,0.755,0.928
10.063,67.66,0.829,0.876
10.139,67.82,0.783,0.897
10.188,67.98,0.811,0.896
10.22,68.14,0.894,0.873
10.258,68.3,0.847,0.883
10.289,68.4,0.884,0.882
10.326,68.5,0.9,0.912
10.346,68.6,0.861,0.904
10.359,68.7,0.883,0.886
10.276,68.9,0.811,0.899
10.333,69.0,0.899,0.891
9.154,64.88,0.691,0.895
9.197,64.96,0.699,0.863
9.25,65.04,0.649,0.889
9.237,65.12,0.718,0.9
9.331,65.2,0.726,0.889
9.36,65.28,0.666,0.869
9.339,65.36,0.748,0.931
9.405,65.44,0.909,0.939
9.443,65.52,0.759,0.959
9.458,65.6,0.806,0.914
9.485,65.65,0.854,0.94
9.518,65.7,0.891,0.902
9.519,65.8,0.876,0.892
9.497,65.85,0.865,0.907
9.524,65.9,0.888,0.908
9.508,65.95,0.922,0.899
8.979,66.46,0.668,0.875
9.054,66.72,0.638,0.756
9.134,66.98,0.638,0.777
9.138,67.24,0.638,0.799
9.21,67.5,0.757,0.812
9.263,67.76,0.773,0.756
9.313,68.02,0.703,0.764
9.361,68.28,0.703,0.797
9.374,68.54,0.722,0.819
9.394,68.8,0.802,0.798
9.419,68.975,0.83,0.803
9.429,69.15,0.827,0.83
9.449,69.325,0.83,0.845
9.452,69.5,0.815,0.809
9.322,69.675,0.806,0.749
9.435,69.85,0.812,0.819
9.449,70.025,0.764,0.823
8.562,61.36,0.828,0.795
8.606,61.42,0.852,0.801
8.63,61.48,0.861,0.798
8.626,61.54,0.874,0.775
8.679,61.6,0.893,0.805
8.699,61.66,0.883,0.789
8.748,61.72,0.914,0.813
8.796,61.78,0.907,0.846
8.842,61.84,0.902,0.813
8.887,61.9,0.912,0.854
8.938,61.925,0.908,0.821
8.987,61.95,0.926,0.851
9.032,61.975,0.918,0.846
9.075,62.0,0.91,0.845
8.958,62.025,0.932,0.781
8.999,62.05,0.905,0.778
9.973,66.56,0.772,0.913
10.041,66.92,0.821,0.917
10.073,67.1,0.795,0.955
10.122,67.28,0.868,0.905
10.137,67.46,0.811,0.936
10.146,67.64,0.776,0.912
10.184,67.82,0.875,0.924
10.228,68.0,0.793,0.893
10.258,68.175,0.871,0.917
10.308,68.35,0.831,0.882
10.365,68.525,0.87,0.863
10.409,68.7,0.883,0.878
10.39,68.875,0.767,0.953
10.461,69.05,0.732,0.936
10.509,69.225,0.8,0.886
10.359,68.34,0.882,0.905
10.383,68.82,0.646,0.886
10.367,69.3,0.721,0.864
10.352,69.54,0.875,0.856
10.314,69.78,0.774,0.866
10.31,70.02,0.788,0.867
10.324,70.26,0.847,0.862
10.346,70.5,0.8,0.866
10.369,70.625,0.838,0.905
10.406,70.75,0.905,0.9
10.435,70.875,0.877,0.887
10.462,71.0,0.882,0.876
10.374,71.125,0.913,0.875
10.424,71.25,0.892,0.895
10.487,71.375,0.903,0.862
11.434,64.36,0.865,0.894
11.551,64.7,0.593,0.885
11.625,65.04,0.905,0.857
11.617,65.38,0.924,0.838
11.532,66.4,0.613,0.909
9.901,64.86,0.686,0.736
9.958,65.22,0.606,0.812
9.924,65.4,0.566,0.689
9.973,65.58,0.65,0.753
9.997,65.76,0.645,0.74
10.003,65.94,0.655,0.778
10.047,66.12,0.754,0.753
10.083,66.3,0.796,0.787
10.117,66.425,0.822,0.809
10.202,66.55,0.839,0.811
10.266,66.675,0.845,0.818
10.309,66.8,0.848,0.842
10.277,66.925,0.863,0.869
10.335,67.05,0.871,0.835
10.404,67.175,0.836,0.83
9.988,58.74,0.643,0.895
10.071,59.18,0.593,0.885
10.122,59.62,0.643,0.882
10.041,60.06,0.617,0.908
10.084,60.5,0.613,0.909
10.126,60.94,0.626,0.883
10.163,61.38,0.609,0.901
10.179,61.82,0.661,0.881
10.168,62.26,0.744,0.932
10.146,62.7,0.685,0.924
10.146,63.075,0.714,0.911
10.163,63.45,0.731,0.896
10.191,63.825,0.729,0.909
10.213,64.2,0.715,0.91
10.188,64.575,0.714,0.887
10.239,64.95,0.671,0.862
10.203,65.325,0.776,0.92
7.087,53.5,0.915,0.718
7.213,54.7,0.752,0.486
7.247,55.3,0.766,0.559
7.342,56.5,0.829,0.57
7.401,57.1,0.835,0.637
7.423,57.7,0.904,0.75
7.459,58.3,0.894,0.748
7.52,58.9,0.908,0.678
7.554,59.225,0.911,0.665
7.568,59.55,0.908,0.517
7.626,59.875,0.924,0.616
7.692,60.2,0.869,0.489
10.642,61.6,0.622,0.892
10.664,61.8,0.532,0.823
10.606,62.0,0.639,0.921
10.623,62.2,0.678,0.88
10.693,62.4,0.603,0.83
10.724,62.6,0.56,0.867
10.729,62.8,0.661,0.827
10.745,63.0,0.762,0.818
10.766,63.2,0.82,0.82
10.762,63.4,0.774,0.89
10.732,63.6,0.814,0.84
10.733,63.8,0.855,0.868
10.713,64.0,0.891,0.912
10.666,64.2,0.884,0.89
10.7,64.4,0.902,0.859
10.781,64.6,0.461,0.9
7.93,55.5,0.736,0.76
7.931,55.8,0.698,0.718
7.941,56.1,0.612,0.756
7.942,56.4,0.557,0.81
7.948,56.7,0.777,0.76
7.934,57.0,0.641,0.602
7.946,57.3,0.668,0.711
7.943,57.6,0.636,0.823
7.976,57.9,0.692,0.856
8.01,58.2,0.72,0.702
8.045,58.5,0.744,0.839
8.089,58.8,0.687,0.744
8.122,59.1,0.629,0.739
8.14,59.4,0.759,0.688
8.127,59.7,0.797,0.621
8.159,60.0,0.759,0.645
8.18,60.3,0.758,0.609
9.536,65.28,0.453,0.844
9.572,65.56,0.373,0.77
9.583,65.7,0.463,0.726
9.611,65.84,0.44,0.773
9.609,65.98,0.461,0.819
9.642,66.12,0.533,0.828
9.631,66.26,0.532,0.783
9.654,66.4,0.546,0.816
9.692,66.525,0.614,0.895
9.718,66.65,0.685,0.884
9.767,66.775,0.74,0.853
9.815,66.9,0.753,0.903
9.813,67.025,0.843,0.852
9.895,67.15,0.85,0.89
7.134,46.28,0.679,0.561
7.19,46.66,0.72,0.686
7.217,47.04,0.716,0.591
7.245,47.8,0.726,0.812
7.28,48.18,0.77,0.782
7.557,48.94,0.72,0.708
7.577,49.32,0.681,0.869
7.322,49.7,0.624,0.611
7.357,50.5,0.681,0.657
7.374,51.3,0.711,0.652
7.384,52.1,0.716,0.65
7.412,52.9,0.718,0.611
7.387,54.5,0.659,0.609
7.401,55.3,0.66,0.502
11.167,71.58,0.757,0.904
11.212,71.76,0.867,0.921
11.177,71.94,0.661,0.845
11.148,72.12,0.776,0.866
11.266,72.3,0.846,0.864
11.305,72.48,0.822,0.904
11.355,72.84,0.827,0.808
11.381,73.02,0.835,0.822
11.398,73.2,0.887,0.866
11.42,73.3,0.904,0.925
11.465,73.4,0.926,0.897
11.496,73.5,0.916,0.903
11.496,73.6,0.938,0.925
11.571,73.8,0.879,0.876
9.986,65.62,0.542,0.954
10.149,66.5,0.636,0.92
10.174,66.72,0.727,0.917
10.185,66.94,0.62,0.926
10.191,67.16,0.598,0.909
10.216,67.38,0.635,0.924
10.266,67.6,0.587,0.943
10.284,67.825,0.7,0.945
10.311,68.05,0.714,0.913
10.349,68.275,0.758,0.922
10.373,68.5,0.771,0.933
10.337,68.725,0.762,0.954
10.369,68.95,0.742,0.951
10.399,68.56,0.936,0.936
10.406,69.04,0.896,0.919
10.415,69.2,0.896,0.917
10.421,69.36,0.907,0.931
10.392,69.52,0.904,0.925
10.381,69.68,0.89,0.932
10.407,69.84,0.888,0.908
10.428,70.0,0.896,0.901
10.459,70.175,0.904,0.934
10.505,70.35,0.921,0.928
10.545,70.525,0.942,0.941
10.572,70.7,0.945,0.949
10.521,70.875,0.958,0.953
10.598,71.05,0.851,0.955
10.644,71.225,0.93,0.942
6.83,47.66,0.874,0.611
6.937,48.1,0.968,0.599
6.981,48.5,0.917,0.594
10.382,70.46,0.746,0.88
10.385,70.68,0.82,0.829
10.446,70.9,0.858,0.788
10.474,71.12,0.758,0.786
